title,type,link,category,description,cost,rating,votes,
SAFETag  Framework,Resource,https://safetag.org/,Risk Assessment,Security Auditing Framework and Evaluation Template for Advocacy Groups. SAFETAG is a professional audit framework that adapts traditional penetration testing and risk assessment methodologies to be relevant to smaller non-profit organizations based or operating in the developing world.,,,,
Project Galileo,Resource,https://www.cloudflare.com/galileo/,Cloud,"If you are an organization working in the arts, human rights, civil society, journalism, or democracy, you can apply for Project Galileo to get Cloudflare’s cybersecurity protection, for free",,,,
GSuite Security,Resource,https://gsuite.google.com/security/,Cloud,"Most non profits use Google Suite, this is a good resource to understand the security aspects of this cloud tool.",,,,
StopThinkConnect Toolkit,Resource,https://www.dhs.gov/publication/stopthinkconnect-small-business-resources,Education,Cybersecurity is a shared responsibility in which all Americans have a role to play. The STOP. THINK. CONNECT. ™ Toolkit provides resources for all segments of the community.,,,,
Why Cybersecurity Should Be On Your Nonprofit’s Radar,Resource,https://www.nonprofitpro.com/article/why-cybersecurity-should-be-on-your-nonprofits-radar/,Motivation,"Did you know that more than 50 U.S. cities and small towns were attacked by ransomware in 2019?

These governments fell victim to fake emails that included attachments mistakenly opened by staff. Baltimore chose to not pay the ransom and instead spent $18 million to recover from the attack.

This should be your organization’s wake-up call, because the nonprofit industry is also on the map.",,,,
Document Retention Policies for Non Profits,Resource,https://www.councilofnonprofits.org/tools-resources/document-retention-policies-nonprofits,Business Continuity,"A document retention and destruction policy identifies the record retention responsibilities of staff, volunteers, board members, and outsiders for maintaining and documenting the storage and destruction of the organization’s documents and records.",,,,
Email Scams To Be Aware Of,Resource,https://www.wired.com/story/email-scammers-gift-cards-nonprofits/,Risk Assessment,"The Federal Trade Commission reported in October that 26 percent of people who report being scammed in 2018 said they bought or reloaded a gift card to deliver the money, up from 7 percent in 2015.",,,,
Low Risk Organization Security,Resource,https://github.com/cltc-berkeley/LROSecurity,Risk Assessment,This guide is intended as an introductory document for low-risk organizations interested in improving their cybersecurity practices. Produced by Citizen Clinic at UC Berkeley's Center for Long-Term Cybersecurity.,,,,
Project Escher,"Tool
",https://securityscorecard.com/escher,Risk Assessment,"Nonprofits focused on human rights, social justice, democracy, economic equality, animal welfare, and community engagement can get access to the SecurityScorecard rating platform for free.",Free,,,https://securityscorecard.com/platform/security-ratings
Google Advanced Protection Program,"Tool
",https://landing.google.com/advancedprotection/,Identity Security,"The Advanced Protection Program safeguards the personal Google Accounts of anyone at risk of targeted attacks – like journalists, activists, business leaders, and political campaign teams.","Free for service, pay for security keys",,,
Security Checklist,Resource,https://securitycheckli.st/,Personal Security,An open source checklist of resources designed to improve your pesronal online privacy and security. Check things off to keep track as you go.,,,,